X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
3.00137e-006,-0.00262527
3.00178e-006,-0.00281911
3.00262e-006,-0.00296336
3.00429e-006,-0.00294899
3.00762e-006,-0.00278277
3.011e-006,-0.00263543
3.0111e-006,-0.0024586
3.0113e-006,-0.00206355
3.0117e-006,-0.00113458
3.012e-006,-0.000366483
3.01208e-006,-0.000286944
3.01224e-006,-0.000155507
3.01256e-006,0.409584
3.0132e-006,3.14925
3.01448e-006,3.17812
3.01704e-006,3.18094
3.02216e-006,3.17658
3.0324e-006,3.16899
3.05288e-006,3.15265
3.09288e-006,2.85968
3.13288e-006,1.86151
3.17288e-006,1.26509
3.21288e-006,0.800184
3.25288e-006,0.559254
3.29288e-006,0.336183
3.33288e-006,0.252452
3.37288e-006,0.136011
3.41288e-006,0.119338
3.45288e-006,0.0499935
3.49288e-006,0.061491
3.53288e-006,0.0132931
3.57288e-006,0.036166
3.61288e-006,7.08944e-008
3.65288e-006,0.0248759
3.69288e-006,-2.53304e-007
3.73288e-006,0.0196604
3.77288e-006,-3.7449e-007
3.81288e-006,0.0170932
3.85288e-006,-4.21462e-007
3.89288e-006,0.0156975
3.93288e-006,-4.32201e-007
3.97288e-006,0.0148352
4e-006,-4.20992e-007
4.0001e-006,-0.000174386
4.0003e-006,-0.000568232
4.0007e-006,-0.00151532
4.001e-006,-0.00230945
4.00105e-006,-0.00237008
4.00116e-006,-0.00247416
4.00137e-006,-0.00262701
4.00179e-006,-0.0028211
4.00263e-006,-0.00296419
4.00431e-006,-0.00294786
4.00767e-006,-0.00278035
4.011e-006,-0.00263546
4.0111e-006,-0.00245863
4.0113e-006,-0.00206357
4.0117e-006,-0.00113459
4.012e-006,-0.000366494
4.01208e-006,-0.000286955
4.01224e-006,-0.000155516
4.01256e-006,0.409439
4.0132e-006,3.14925
4.01448e-006,3.17812
4.01704e-006,3.18094
4.02216e-006,3.17658
4.0324e-006,3.16899
4.05288e-006,3.15265
4.09288e-006,2.85969
4.13288e-006,1.86152
4.17288e-006,1.2651
4.21288e-006,0.800198
