X--Trace 1::[A + B],Y--Trace 1::[A + B]
1.8e-005,0
1.80001e-005,0.5
1.80003e-005,1.5
1.80007e-005,3.5
1.8001e-005,5
1.80011e-005,5
1.80012e-005,5
1.80014e-005,5
1.80018e-005,5
1.80026e-005,5
1.80043e-005,5
1.80077e-005,5
1.8011e-005,5
1.80111e-005,4.5
1.80113e-005,3.5
1.80117e-005,1.5
1.8012e-005,3.96749e-012
1.80121e-005,0
1.80122e-005,0
1.80126e-005,0
1.80132e-005,0
1.80145e-005,0
1.8017e-005,0
1.80222e-005,0
1.80324e-005,0
1.80529e-005,0
1.80929e-005,0
1.81329e-005,0
1.81729e-005,0
1.82129e-005,0
1.82529e-005,0
1.82929e-005,0
1.83329e-005,0
1.83729e-005,0
1.84129e-005,0
1.84529e-005,0
1.84929e-005,0
1.85329e-005,0
1.85729e-005,0
1.86129e-005,0
1.86529e-005,0
1.86929e-005,0
1.87329e-005,0
1.87729e-005,0
1.88129e-005,0
1.88529e-005,0
1.88929e-005,0
1.89329e-005,0
1.89729e-005,0
1.9e-005,1.69407e-011
1.90001e-005,0.5
1.90003e-005,1.5
1.90007e-005,3.5
1.9001e-005,5
1.90011e-005,5
1.90012e-005,5
1.90014e-005,5
1.90018e-005,5
1.90026e-005,5
1.90043e-005,5
1.90077e-005,5
1.9011e-005,5
1.90111e-005,4.5
1.90113e-005,3.5
1.90117e-005,1.5
1.9012e-005,3.96749e-012
1.90121e-005,0
1.90122e-005,0
1.90126e-005,0
1.90132e-005,0
1.90145e-005,0
1.9017e-005,0
1.90222e-005,0
1.90324e-005,0
1.90529e-005,0
1.90929e-005,0
1.91329e-005,0
1.91729e-005,0
1.92129e-005,0
1.92529e-005,0
1.92929e-005,0
1.93329e-005,0
1.93729e-005,0
1.94129e-005,0
1.94529e-005,0
1.94929e-005,0
1.95329e-005,0
1.95729e-005,0
1.96129e-005,0
1.96529e-005,0
1.96929e-005,0
1.97329e-005,0
1.97729e-005,0
1.98129e-005,0
1.98529e-005,0
1.98929e-005,0
1.99329e-005,0
1.99729e-005,0
2e-005,0
2.00001e-005,0.5
2.00003e-005,1.5
2.00007e-005,3.5
2.0001e-005,5
2.00011e-005,5
2.00012e-005,5
2.00014e-005,5
2.00018e-005,5
2.00026e-005,5
2.00043e-005,5
2.00077e-005,5
2.0011e-005,5
2.00111e-005,4.5
2.00113e-005,3.5
2.00117e-005,1.5
2.0012e-005,3.96749e-012
2.00121e-005,0
2.00122e-005,0
2.00126e-005,0
2.00132e-005,0
2.00145e-005,0
2.0017e-005,0
2.00222e-005,0
2.00324e-005,0
2.00529e-005,0
2.00929e-005,0
